Parameter Index Variable,Asyn Interface,Access,drvInfo String,Record Names,Record Types,Description
NDPoolEmptyFreeList,asynInt32,W,POOL_EMPTY_FREELIST,$(P)$(R)EmptyFreeList,bo,EmptyFreeList
ADAcquireBusy,asynInt32,R,ACQUIRE_BUSY,$(P)$(R)AcquireBusyCB,bi,AcquireBusyCB
NDBayerPattern,asynInt32,R,BAYER_PATTERN,$(P)$(R)BayerPattern_RBV,mbbi,BayerPattern_RBV
NDArraySizeZ,asynInt32,R,ARRAY_SIZE_Z,$(P)$(R)ArraySizeZ_RBV,longin,ArraySizeZ_RBV
NDCodec,asynOctetRead,R,CODEC,$(P)$(R)Codec_RBV,stringin,Codec_RBV
NDCompressedSize,asynInt32,R,COMPRESSED_SIZE,$(P)$(R)CompressedSize_RBV,longin,CompressedSize_RBV
NDUniqueId,asynInt32,R,UNIQUE_ID,$(P)$(R)UniqueId_RBV,longin,UniqueId_RBV
NDTimeStamp,asynFloat64,R,TIME_STAMP,$(P)$(R)TimeStamp_RBV,ai,TimeStamp_RBV
NDEpicsTSSec,asynInt32,R,EPICS_TS_SEC,$(P)$(R)EpicsTSSec_RBV,longin,EpicsTSSec_RBV
NDEpicsTSNsec,asynInt32,R,EPICS_TS_NSEC,$(P)$(R)EpicsTSNsec_RBV,longin,EpicsTSNsec_RBV
NDPoolMaxMemory,asynFloat64,R,POOL_MAX_MEMORY,$(P)$(R)PoolMaxMem,ai,PoolMaxMem
NDPoolUsedMemory,asynFloat64,R,POOL_USED_MEMORY,$(P)$(R)PoolUsedMem,ai,PoolUsedMem
NDPoolAllocBuffers,asynInt32,R,POOL_ALLOC_BUFFERS,$(P)$(R)PoolAllocBuffers,longin,PoolAllocBuffers
NDPoolFreeBuffers,asynInt32,R,POOL_FREE_BUFFERS,$(P)$(R)PoolFreeBuffers,longin,PoolFreeBuffers
NDNDimensions,asynInt32,RW,ARRAY_NDIMENSIONS,"$(P)$(R)NDimensions,
$(P)$(R)NDimensions_RBV","longout,
longin",NDimensions
NDDimensions,"asynInt32ArrayOut,
asynInt32ArrayIn",RW,ARRAY_DIMENSIONS,"$(P)$(R)Dimensions,
$(P)$(R)Dimensions_RBV","waveform,
waveform",Dimensions
